service_code,service_name,carrier_service_code,service_register_code,features,zone_label,country_codes,min_weight,max_weight,zone_min_weight,zone_max_weight,max_length,max_width,max_height,rate,cost,zone_id,postal_codes,cities,active,currency,weight_unit,dimension_unit,transit_days,domicile,international,included_compensation,package_format_identifier,notes,meta_source_url,meta_effective_date,veryfy price,fuel_energy_surcharge_percentage,green_surcharge_amount,peak_surcharge_amount,peak_surcharge_start_date,peak_surcharge_end_date,signature_surcharge_amount,age_verification_surcharge_amount,id_verification_surcharge_amount,signature_surcharge_letter_amount,signature_surcharge_large_letter_amount,signature_surcharge_parcel_amount
parcel_force_express_48_large_insured_150,express48 Large Comp 1 (01 / 915178FN),FEN,01,tracked:b2c:email_notifications:b2b:Insurance:signature,Domestic,GB,0.001,30000,,,2500,2500,2500,,,gb_domestic_parcelforce,,,False,GBP,G,MM,2,True,False,150,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,4.50,2026-11-17,2027-01-09,0.70,,,,,
parcel_force_express_48_large_insured_750,express48 Large Comp 2 (01 / 915178FO),FEO,01,tracked:b2c:email_notifications:b2b:Insurance:signature,Domestic,GB,0.001,30000,,,2500,2500,2500,,,gb_domestic_parcelforce,,,False,GBP,G,MM,2,True,False,750,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,4.50,2026-11-17,2027-01-09,0.70,,,,,
parcel_force_express_48_large_insured_2500,express48 Large Comp 3 (01 / 915178FP),FEP,01,tracked:b2c:email_notifications:b2b:Insurance:signature,Domestic,GB,0.001,30000,,,2500,2500,2500,,,gb_domestic_parcelforce,,,False,GBP,G,MM,2,True,False,2500,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,4.50,2026-11-17,2027-01-09,0.70,,,,,
parcel_force_express_48_returns,express48 Returns (01 / 915178RA),RTA,01,return:tracked:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,18.95,18.95,gb_domestic_returns,,,True,GBP,G,MM,2,True,False,0,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,,,,,,
parcel_force_express_48_returns_insured_150,express48 Returns Comp 1 (01 / 915178RB),RTB,01,return:tracked:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_returns,,,False,GBP,G,MM,2,True,False,150,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,,,,,,
parcel_force_express_48_returns_insured_750,express48 Returns Comp 2 (01 / 915178RC),RTC,01,return:tracked:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_returns,,,False,GBP,G,MM,2,True,False,750,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,,,,,,
parcel_force_express_48_returns_insured_2500,express48 Returns Comp 3 (01 / 915178RD),RTD,01,return:tracked:Insurance:signature,Domestic,GB,0.001,30000,,,1500,1500,1500,,,gb_domestic_returns,,,False,GBP,G,MM,2,True,False,2500,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,13,0.05,0.20,2026-11-17,2027-01-09,,,,,,
royal_mail_International_Business_Parcel_Zone_Sort_Priority,International Business Parcel Zone Sort Priority (01 / X1006082),IE1,01,b2c:b2b,International,,0.001,30000,,,,,,,,intl_generic,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,,0.12,2026-11-17,2027-01-09,,,,,,
royal_mail_International_Business_Mail_Large_Letter_Zone_Sort_Priority,International Business Mail Large Letter Zone Sort Priority (01 / X1006082),IG1,01,b2c:b2b,International,,0.001,30000,,,,,,,,intl_generic,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,,0.07,2026-11-17,2027-01-09,,,,,,
royal_mail_International_Business_Mail_Large_Letter_Zone_Sort_Priority_Machineable,International Business Mail Large Letter Zone Sort Priority Machineable (01 / X1006082),IG4,01,b2c:b2b,International,,0.001,30000,,,,,,,,intl_generic,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,,0.07,2026-11-17,2027-01-09,,,,,,
royal_mail_international_tracked_and_signed_ppi,International Tracked and Signed PPI (01 / X1006082),LLG,01,tracked:signature:b2c:b2b,International,,0.001,750,,,,,,8.6,8.6,intl_generic,,,False,GBP,G,MM,,False,True,,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,,,,,,,,,,
royal_mail_international_tracked_ppi,International Tracked PPI (01 / X1006082),LLH,01,tracked:b2c:b2b,International,,0.001,2000,,,,,,9.6,9.6,intl_generic,,,False,GBP,G,MM,,False,True,,,Account from-rate from April 2026 guide.,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,,,,,,,,,,
royal_mail_international_signed_for_ppi,International Signed For PPI (01 / X1006082),LLI,01,signature:b2c:b2b,International,,0.001,2000,,,,,,,,intl_generic,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,,,,,,,,,,
royal_mail_international_business_parcel_tracked,International Business Parcel Tracked (01 / X1006082),MP1,01,tracked:b2c:b2b,International,,0.001,30000,,,,,,,,intl_generic,,,False,GBP,G,MM,,False,True,,,Cost Unknown,https://www.royalmail.com/sites/royalmail.com/files/2026-03/business-price-guide-april-2026-v3-ta.pdf,2026-04-07,,12,,0.12,2026-11-17,2027-01-09,,,,,,
